"participant","corr neutr","corr nonneute","rt neutr","rt nonneutr","age","sex"
1,0.857,0.8,1.33,1.37,,
2,0.81,0.93,1.24,0.969,,
3,0.857,1.0,1.9,1.97,,
4,0.905,1.0,1.04,0.921,22,"Feminine"
5,0.81,0.733,1.51,1.73,19,"Feminine"
6,0.905,0.867,0.976,0.797,20,"Feminine"
7,,,,,,
8,,,,,,
9,,,,,,
10,0.857,0.8,0.753,0.783,20,"Feminine"
11,0.905,0.867,0.72,0.897,23,"Male"
12,0.905,0.933,0.737,0.711,20,"Feminine"
13,0.857,1.0,1.37,1.29,21,"Femenine"
14,0.93,0.81,1.15,1.31,21,"Male"
15,0.8,0.91,1.18,1.36,21,"Femenine"
16,0.952,1.0,1.05,1.51,18,"Male"
17,1.26,1.06,0.762,0.867,45,"Male"
18,0.857,0.933,2.23,1.6,18,"Male"
19,,,,,,
20,,,,,,
21,,,,,,
22,0.857,0.867,3.84,3.45,18,"Feminine"
23,0.857,0.867,2.41,3.63,18,"Male"
24,0.857,0.933,2.71,2.74,21,"Feminine"
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
